name,pid,img_files,series,team,range
Pee Wee Kiwi,3-072,pee_wee_kiwi_3-072.png;pee_wee_kiwi_3-080.png;pee_wee_kiwi_BB-018.png,Series 3,Fruit and Veg,Shopkins
Prickles,4-054,prickles_4-054.png;prickles_4-060.png,Series 4,Garden,Shopkins
Little Pet Collar,4-074,little_pet_collar_4-074.png;little_pet_collar_4-082.png,Series 4,Petshop,Shopkins
Crepe Suzzane,SHP-003,crepe_suzzane_SHP-003.png,Series 6,Exclusive,Shopkins
Betty Boot,2-109,betty_boot_2-109.png;betty_boot_2-117.png;betty_boot_FS-041.png;betty_boot_FS-047.png,Series 2,Shoes,Shopkins
Bubble Tubs,1-106,bubble_tubs_1-106.png;bubble_tubs_1-116.png,Series 1,Health & Beauty,Shopkins
Helen Helmet,FFC-005,helen_helmet_FFC-005.png,Series 4,Exclusive,Fashion Spree
Lotta Bottle,FGF-000,lotta_bottle_FGF-000.png,Series 4,Exclusive,Fashion Spree
Patricia Parfait Glass,7-080,patricia_parfait_glass_7-080.png,Series 6,Limited Edition,Shopkins
Grace Baseball Bat,5-005,grace_baseball_bat_5-005.png;grace_baseball_bat_5-013.png,Series 5,Sport,Shopkins
Tommy Ketchup,1-015,tommy_ketchup_1-015.png;tommy_ketchup_1-024.png;tommy_ketchup_SMF-005.png,Series 1,Pantry,Shopkins
Jennifer Rayne,3-037,jennifer_rayne_3-037.png;jennifer_rayne_3-045.png;jennifer_rayne_BB-030.png;jennifer_rayne_FS-012.png;jennifer_rayne_FS-030.png;jennifer_rayne_SCH-029.png;jennifer_rayne_SCH-035.png,Series 3,Shoes,Shopkins
Miss Sprinkles,6-029,miss_sprinkles_6-029.png,Series 6,Sweets,Shopkins
Sneaky Wedge,2-108,sneaky_wedge_2-108.png;sneaky_wedge_2-116.png;sneaky_wedge_FS-014.png;sneaky_wedge_FS-032.png,Series 2,Shoes,Shopkins
Dollops,1-071,dollops_1-071.png;dollops_1-079.png,Series 1,Dairy,Shopkins
Pop Rock,SHS-015,pop_rock_SHS-015.png,Series 5,Exclusive,Shopkins
Yo-Chi ,1-123,yo-chi__1-123.png;yo-chi__1-131.png,Series 1,Frozen Food,Shopkins
Rolly Roll,1-145,rolly_roll_1-145.png,Series 1,Exclusive,Shopkins
Ruby Earring,3-137,ruby_earring_3-137.png,Series 3,Limited Edition,Shopkins
Soda,2-144,soda_2-144.png,Series 2,Exclusive,Shopkins
Bridie Basil,6-075,bridie_basil_6-075.png,Series 6,Family Food,Shopkins
Patsy Pasta,6-022,patsy_pasta_6-022.png,Series 6,Family Food,Shopkins
Cindy Bon,SE_007,cindy_bon_SE_007.png;cindy_bon_SE_008.png,Series 4,Exclusive,Shopkins
Cute Boot,2-112,cute_boot_2-112.png;cute_boot_2-120.png;cute_boot_FS-050.png;cute_boot_FS-056.png,Series 2,Shoes,Shopkins
Shy Pie,4-091,shy_pie_4-091.png;shy_pie_4-094.png,Series 4,Petkins,Shopkins
Peely Potato,4-002,peely_potato_4-002.png;peely_potato_4-007.png,Series 4,Fruit and Veg,Shopkins
Tessa Teacup,SHP-018,tessa_teacup_SHP-018.png,Series 6,Exclusive,Shopkins
Nutty Butter,1-016,nutty_butter_1-016.png;nutty_butter_1-025.png;nutty_butter_SV-003.png;nutty_butter_SV-007.png,Series 1,Pantry,Shopkins
Stella Stapler,3-121,stella_stapler_3-121.png;stella_stapler_3-129.png,Series 3,Stationery,Shopkins
Bobby Sock,4-107,bobby_sock_4-107.png;bobby_sock_4-110.png,Series 4,Petkins,Shopkins
Toni Timer,FGF-006,toni_timer_FGF-006.png,Series 4,Exclusive,Fashion Spree
Eggchic,4-113,eggchic_4-113.png;eggchic_4-116.png,Series 4,Petkins,Shopkins
Bessy Baseball,5-007,bessy_baseball_5-007.png;bessy_baseball_5-015.png,Series 5,Sport,Shopkins
Paula Puzzle,5-149,paula_puzzle_5-149.png,Series 5,Limited Edition,Shopkins
Bobby Bubble Gum,SHP-010,bobby_bubble_gum_SHP-010.png,Series 6,Exclusive,Shopkins
Twinky Winks,1-140,twinky_winks_1-140.png,Series 1,Limited Edition,Shopkins
Cuddles Snow Boot,FFC-003,cuddles_snow_boot_FFC-003.png,Series 4,Exclusive,Fashion Spree
Comfy Cushion,4-114,comfy_cushion_4-114.png;comfy_cushion_4-117.png,Series 4,Petkins,Shopkins
Bubblicious,SH_010,bubblicious_SH_010.png,Series 4,Exclusive,Shopkins
Sweet Corn,6-026,sweet_corn_6-026.png,Series 6,Family Food,Shopkins
Jane Frame,5-050,jane_frame_5-050.png;jane_frame_5-058.png,Series 5,Homewares,Shopkins
Bella Mozzarella,6-042,bella_mozzarella_6-042.png,Series 6,Family Food,Shopkins
Patty Cake,3-003,patty_cake_3-003.png;patty_cake_3-012.png;patty_cake_FF-011.png;patty_cake_FF-029.png;patty_cake_SCH-013.png;patty_cake_SCH-019.png,Series 3,Bakery,Shopkins
Carmel Topping,6-048,carmel_topping_6-048.png,Series 6,Sweets,Shopkins
Ginger Fred,3-059,ginger_fred_3-059.png;ginger_fred_3-068.png;ginger_fred_BB-007.png;ginger_fred_SCH-000.png;ginger_fred_SCH-006.png,Series 3,Sweet Treats,Shopkins
B. Nana Split,6-065,b._nana_split_6-065.png,Series 6,Sweets,Shopkins
Squeaky Clean,2-088,squeaky_clean_2-088.png;squeaky_clean_2-097.png,Series 2,Cleaning & Laundry,Shopkins
Blow-anne,SCH-014,blow-anne_SCH-014.png;blow-anne_SCH-020.png,Series 5,Exclusive,Shopkins
Winona Waffles,6-054,winona_waffles_6-054.png,Series 6,Breakfast,Shopkins
Gale Scales,4-044,gale_scales_4-044.png;gale_scales_4-049.png,Series 4,Homewares,Shopkins
Bethany Broccoli,6-018,bethany_broccoli_6-018.png,Series 6,Family Food,Shopkins
Choc Kiss,3-056,choc_kiss_3-056.png;choc_kiss_3-065.png;choc_kiss_BB-031.png;choc_kiss_SHS-020.png;choc_kiss_SHS-026.png;choc_kiss_SHS-032.png;choc_kiss_VAL-004.png,Series 3,Sweet Treats,Shopkins
Pretz-elle ,1-082,pretz-elle__1-082.png;pretz-elle__1-092.png,Series 1,Party Food,Shopkins
Apple Pie Slice,6-057,apple_pie_slice_6-057.png,Series 6,Bakery,Shopkins
Coco Nutty  ,1-144,coco_nutty___1-144.png,Series 1,Exclusive,Shopkins
Teeni 1,FSB-001,teeni_1_FSB-001.png,Series 3,Exclusive,Fashion Spree
Winnie Window Box,5-020,winnie_window_box_5-020.png;winnie_window_box_5-028.png,Series 5,Garden,Shopkins
Olive Oil,6-035,olive_oil_6-035.png,Series 6,Breakfast,Shopkins
V. Nilla Tubs,6-012,v._nilla_tubs_6-012.png,Series 6,Breakfast,Shopkins
Sweeps,2-092,sweeps_2-092.png;sweeps_2-101.png,Series 2,Cleaning & Laundry,Shopkins
Launa Mower,5-023,launa_mower_5-023.png;launa_mower_5-031.png,Series 5,Garden,Shopkins
Scoopy Two,FF-013,scoopy_two_FF-013.png,Series 3,Cool and Creamy,Food Fair
Melonie Pips,1-005,melonie_pips_1-005.png;melonie_pips_1-012.png,Series 1,Fruit and Veg,Shopkins
Bertha Bath,5-051,bertha_bath_5-051.png;bertha_bath_5-059.png,Series 5,Homewares,Shopkins
Zappy Microwave,2-022,zappy_microwave_2-022.png;zappy_microwave_2-031.png,Series 2,Homewares,Shopkins
Pappa Pizza Base,6-019,pappa_pizza_base_6-019.png,Series 6,Family Food,Shopkins
Heel,FSD-003,heel_FSD-003.png,Series 3,Exclusive,Fashion Spree
Ma Kettle,2-021,ma_kettle_2-021.png;ma_kettle_2-030.png;ma_kettle_SXL-002.png;ma_kettle_SXL-008.png,Series 2,Homewares,Shopkins
Washa,3-103,washa_3-103.png;washa_3-112.png,Series 3,Homewares,Shopkins
Hillary Harp,5-039,hillary_harp_5-039.png;hillary_harp_5-047.png,Series 5,Music,Shopkins
Papa Tomato,1-141,papa_tomato_1-141.png,Series 1,Limited Edition,Shopkins
Candi Cotton  ,1-051,candi_cotton___1-051.png;candi_cotton___1-060.png,Series 1,Sweet Treats,Shopkins
Boo-Hoo Onion,2-006,boo-hoo_onion_2-006.png;boo-hoo_onion_2-014.png,Series 2,Fruit and Veg,Shopkins
Party Plate,4-067,party_plate_4-067.png;party_plate_4-072.png,Series 4,Party Time,Shopkins
Sneaky Sally,3-040,sneaky_sally_3-040.png;sneaky_sally_3-048.png;sneaky_sally_BB-036.png,Series 3,Shoes,Shopkins
Snippy,3-122,snippy_3-122.png;snippy_3-130.png;snippy_BB-040.png,Series 3,Stationery,Shopkins
Toasty Pop,2-017,toasty_pop_2-017.png;toasty_pop_2-026.png,Series 2,Homewares,Shopkins
Fiona Fries,3-090,fiona_fries_3-090.png;fiona_fries_3-099.png;fiona_fries_SSP-002.png,Series 3,International Food,Shopkins
