name,pid,img_files,series,team,range
Strawberries and Cream,2-143,strawberries_and_cream_2-143.png;strawberries_and_cream_SMF-006.png,Series 2,Exclusive,Shopkins
Linda Layered Cake,5-071,linda_layered_cake_5-071.png;linda_layered_cake_5-079.png,Series 5,Bakery,Shopkins
D'lish Donut,1-035,d'lish_donut_1-035.png;d'lish_donut_1-042.png;d'lish_donut_FF-LE.png,Series 1,Bakery,Shopkins
Birthday Betty,3-007,birthday_betty_3-007.png;birthday_betty_3-016.png;birthday_betty_BB-014.png;birthday_betty_FF-051.png;birthday_betty_FF-057.png,Series 3,Bakery,Shopkins
Sami Scrambles,6-049,sami_scrambles_6-049.png,Series 6,Breakfast,Shopkins
Yummy Gum,2-056,yummy_gum_2-056.png;yummy_gum_2-064.png,Series 2,Sweet Treats,Shopkins
Wendy Washer,2-089,wendy_washer_2-089.png;wendy_washer_2-098.png,Series 2,Cleaning & Laundry,Shopkins
Pa' Pizza ,1-125,pa'_pizza__1-125.png;pa'_pizza__1-133.png,Series 1,Frozen Food,Shopkins
Cheeky Chocolate,1-050,cheeky_chocolate_1-050.png;cheeky_chocolate_1-059.png;cheeky_chocolate_5-103.png;cheeky_chocolate_5-115.png;cheeky_chocolate_5-127.png;cheeky_chocolate_SHS-023.png;cheeky_chocolate_SHS-035.png;cheeky_chocolate_SV-000.png;cheeky_chocolate_VAL-006.png,Series 1,Sweet Treats,Shopkins
Candi Cotton,SHS-051,candi_cotton_SHS-051.png;candi_cotton_SHS-057.png,Series 5,Exclusive,Shopkins
Freda Frosting,6-073,freda_frosting_6-073.png,Series 6,Bakery,Shopkins
Radio Sue,3-108,radio_sue_3-108.png;radio_sue_3-117.png,Series 3,Homewares,Shopkins
Natalie Noodles,6-059,natalie_noodles_6-059.png,Series 6,Family Food,Shopkins
Pippa Popcorn,SHP-007,pippa_popcorn_SHP-007.png,Series 6,Exclusive,Shopkins
Julie Bean,SHS-053,julie_bean_SHS-053.png;julie_bean_SHS-059.png,Series 5,Exclusive,Shopkins
Asbury Raspberry,3-075,asbury_raspberry_3-075.png;asbury_raspberry_3-083.png;asbury_raspberry_SCH-012.png;asbury_raspberry_SCH-018.png;asbury_raspberry_SHS-037.png;asbury_raspberry_SHS-043.png,Series 3,Fruit and Veg,Shopkins
Curly Fries,1-149,curly_fries_1-149.png,Series 1,Exclusive,Shopkins
Sushanne,SHP-001,sushanne_SHP-001.png,Series 6,Exclusive,Shopkins
Barb B Que,5-021,barb_b_que_5-021.png;barb_b_que_5-029.png,Series 5,Garden,Shopkins
Rita Sneaker,FGF-002,rita_sneaker_FGF-002.png,Series 4,Exclusive,Fashion Spree
Pumpkinella,1-143,pumpkinella_1-143.png;pumpkinella_SHS-000.png;pumpkinella_SHS-006.png;pumpkinella_SHS-012.png,Series 1,Exclusive,Shopkins
Brittney Brownie,5-065,brittney_brownie_5-065.png;brittney_brownie_5-073.png,Series 5,Bakery,Shopkins
Ice Cream Kate,5-085,ice_cream_kate_5-085.png;ice_cream_kate_5-093.png,Series 5,Sweet Treats,Shopkins
